timestamp,open_btc,high_btc,low_btc,close_btc,RSI_btc,MACD_btc,MA_20_btc,Trendline_btc,volume_btc,open_xau,high_xau,low_xau,close_xau,RSI_xau,MACD_xau,MA_20_xau,Trendline_xau,volume_xau
2024-04-17 00:00:00+00:00,63821.0,64636.0,59672.0,61278.0,38.67734,-792.97503,67675.95,67675.95,197755883.35033,2383.4,2395.53,2354.54,2361.34,69.71801,62.84724,2281.0055,2281.0055,103675
2024-04-18 00:00:00+00:00,61256.0,64182.0,60830.0,63515.0,44.00764,-919.22297,67356.55,67356.55,149460469.78518,2364.36,2392.76,2362.98,2376.97,71.525,61.87179,2290.5755,2290.5755,117665
2024-04-19 00:00:00+00:00,63512.0,65506.0,59629.0,63821.0,44.71554,-983.24944,67066.95,67066.95,239732366.68204,2379.3,2417.83,2372.91,2390.36,73.01082,61.47061,2301.0405,2301.0405,146102
2024-04-22 00:00:00+00:00,64951.0,67241.0,64545.0,66855.0,51.85347,-677.9135,66584.05,66584.05,135019527.74179,2384.0,2388.38,2324.47,2325.64,57.41604,55.29292,2309.0465,2309.0465,80592
2024-04-23 00:00:00+00:00,66845.0,67201.0,65837.0,66421.0,50.79032,-547.24759,66605.7,66605.7,79728196.55294,2329.92,2334.34,2291.39,2321.51,56.58544,49.49327,2316.5625,2316.5625,78895
2024-04-24 00:00:00+00:00,66413.0,67057.0,63554.0,64259.0,45.75734,-611.10481,66391.75,66391.75,133160631.95523,2321.91,2337.19,2311.78,2315.04,55.23731,43.86924,2323.426,2323.426,71283
2024-04-25 00:00:00+00:00,64254.0,65286.0,62785.0,64493.0,46.3767,-635.50457,66223.55,66223.55,119421305.39596,2317.29,2344.8,2305.05,2331.24,57.93939,40.25532,2330.251,2330.251,68535
2024-04-26 00:00:00+00:00,64488.0,64793.0,63306.0,63745.0,44.62271,-707.04849,65964.95,65964.95,77377475.70607,2331.84,2352.5,2326.17,2337.37,58.94918,37.45415,2335.4885,2335.4885,64963
2024-04-29 00:00:00+00:00,63106.0,64181.0,61764.0,63832.0,45.4842,-845.4757,64977.6,64977.6,95524685.44338,2333.5,2346.63,2320.04,2336.35,58.69666,34.75131,2339.822,2339.822,70057
2024-04-30 00:00:00+00:00,63849.0,64714.0,59068.0,60632.0,37.87335,-1083.55699,64477.7,64477.7,166152755.83114,2335.67,2336.23,2285.04,2285.57,47.73386,28.18685,2340.0995,2340.0995,71735
